rbt_id,lane,seq,x,y
RBT06,0,57,2901.808,2928.581
RBT06,0,58,2900.584,2917.031
RBT06,0,59,2899.971,2905.433
RBT06,0,60,2899.971,2893.818
RBT06,0,61,2900.584,2882.22
RBT06,0,62,2901.808,2870.67
RBT06,0,63,2903.64,2859.201
RBT06,0,64,2906.075,2847.844
RBT06,0,65,2909.106,2836.632
RBT06,0,66,2912.724,2825.595
RBT06,0,67,2916.92,2814.765
RBT06,0,68,2921.681,2804.171
RBT06,0,69,2926.995,2793.843
RBT06,0,70,2932.847,2783.81
RBT06,0,71,2939.22,2774.1
RBT06,0,72,2946.096,2764.74
RBT06,0,73,2953.457,2755.756
RBT06,0,74,2961.282,2747.172
RBT06,0,75,2969.548,2739.014
RBT06,0,76,2978.234,2731.303
RBT06,0,77,2987.315,2724.062
RBT06,0,78,2996.765,2717.309
RBT06,0,79,3006.558,2711.065
RBT06,0,80,3016.668,2705.347
RBT06,0,81,3027.065,2700.17
RBT06,0,82,3037.72,2695.548
RBT06,0,83,3048.605,2691.496
RBT06,0,84,3059.689,2688.024
RBT06,0,85,3070.94,2685.141
RBT06,0,86,3082.328,2682.857
RBT06,0,87,3093.82,2681.176
RBT06,0,88,3105.385,2680.104
RBT06,0,89,3116.991,2679.645
RBT06,0,90,3128.604,2679.798
RBT06,0,91,3140.193,2680.564
RBT06,0,92,3151.726,2681.941
RBT06,0,93,3163.17,2683.924
RBT06,0,94,3174.494,2686.508
RBT06,0,95,3185.665,2689.687
RBT06,0,96,3196.653,2693.45
RBT06,0,97,3207.427,2697.789
RBT06,0,98,3217.957,2702.69
RBT06,0,99,3228.214,2708.139
RBT06,0,100,3238.168,2714.123
RBT06,0,101,3247.794,2720.623
RBT06,0,102,3257.062,2727.623
RBT06,0,103,3265.949,2735.101
RBT06,0,104,3274.428,2743.039
RBT06,0,105,3282.476,2751.412
RBT06,0,106,3290.072,2760.199
RBT06,0,107,3297.193,2769.375
RBT06,0,108,3303.82,2778.913
RBT06,0,109,3309.934,2788.788
RBT06,0,110,3315.519,2798.972
RBT06,0,111,3320.558,2809.437
RBT06,0,112,3325.038,2820.152
RBT06,0,113,3328.947,2831.09
RBT06,0,114,3332.272,2842.218
RBT06,0,115,3335.006,2853.506
RBT06,0,116,3337.14,2864.923
RBT06,0,117,3338.669,2876.437
RBT06,0,118,3339.588,2888.015
RBT06,0,119,3339.894,2899.625
RBT07,0,0,2243.349,1687.5
RBT07,0,1,2243.119,1696.208
RBT07,0,2,2242.43,1704.892
RBT07,0,3,2241.284,1713.527
RBT07,0,4,2239.683,1722.089
RBT07,0,5,2237.633,1730.556
RBT07,0,6,2235.139,1738.902
RBT07,0,7,2232.207,1747.105
RBT07,0,8,2228.847,1755.142
RBT07,0,9,2225.068,1762.99
RBT07,0,10,2220.879,1770.628
RBT07,0,11,2216.293,1778.034
RBT07,0,12,2211.323,1785.188
RBT07,0,13,2205.982,1792.07
RBT07,0,14,2200.286,1798.66
RBT07,0,15,2194.249,1804.94
RBT07,0,16,2187.89,1810.893
RBT07,0,17,2181.225,1816.502
RBT07,0,18,2174.274,1821.752
RBT07,0,19,2167.055,1826.627
RBT07,0,20,2159.589,1831.115
RBT07,0,21,2151.896,1835.202
RBT07,0,22,2143.999,1838.878
RBT07,0,23,2135.918,1842.131
RBT07,0,24,2127.677,1844.954
RBT07,0,25,2119.299,1847.338
RBT07,0,26,2110.806,1849.276
