pair,alt,seq,x,y,risk,conflict
DB02_to_DK05#alt5,5,39,1750.0,2250.0,0.5134,0.0
DB02_to_DK05#alt5,5,40,1750.0,2300.0,0.5134,0.0
DB02_to_DK05#alt5,5,41,1750.0,2350.0,0.5134,0.0
DB02_to_DK05#alt5,5,42,1750.0,2400.0,0.503,0.0
DB02_to_DK05#alt5,5,43,1750.0,2450.0,0.4746,0.0
DB02_to_DK05#alt5,5,44,1800.0,2500.0,0.3784,0.0
DB02_to_DK05#alt5,5,45,1850.0,2550.0,0.3006,0.0
DB02_to_DK05#alt5,5,46,1900.0,2600.0,0.2407,0.0
DB02_to_DK05#alt5,5,47,1900.0,2650.0,0.2252,0.0
DB02_to_DK05#alt5,5,48,1950.0,2700.0,0.2407,0.0
DB02_to_DK05#alt5,5,49,2000.0,2750.0,0.2609,0.0
DB02_to_DK05#alt5,5,50,2050.0,2750.0,0.3006,0.0
DB02_to_DK05#alt5,5,51,2100.0,2750.0,0.344,0.0
DB02_to_DK05#alt5,5,52,2150.0,2750.0,0.3895,0.0
DB02_to_DK05#alt5,5,53,2200.0,2750.0,0.4346,0.0
DB02_to_DK05#alt5,5,54,2250.0,2750.0,0.4931,0.0
DB02_to_DK05#alt6,6,0,2150.0,600.0,0.4076,0.0
DB02_to_DK05#alt6,6,1,2200.0,550.0,0.3784,0.0
DB02_to_DK05#alt6,6,2,2150.0,500.0,0.3006,0.0
DB02_to_DK05#alt6,6,3,2100.0,450.0,0.2407,0.0
DB02_to_DK05#alt6,6,4,2050.0,400.0,0.1937,0.0
DB02_to_DK05#alt6,6,5,2000.0,350.0,0.1551,0.0
DB02_to_DK05#alt6,6,6,1950.0,300.0,0.1648,0.0
DB02_to_DK05#alt6,6,7,1900.0,250.0,0.17,0.0
DB02_to_DK05#alt6,6,8,1850.0,200.0,0.17,0.0
DB02_to_DK05#alt6,6,9,1800.0,150.0,0.17,0.0
DB02_to_DK05#alt6,6,10,1750.0,100.0,0.17,0.0
DB02_to_DK05#alt6,6,11,1700.0,50.0,0.17,0.0
DB02_to_DK05#alt6,6,12,1650.0,50.0,0.1921,0.0
DB02_to_DK05#alt6,6,13,1600.0,50.0,0.2151,0.0
DB02_to_DK05#alt6,6,14,1550.0,50.0,0.2384,0.0
DB02_to_DK05#alt6,6,15,1500.0,50.0,0.2609,0.0
DB02_to_DK05#alt6,6,16,1450.0,50.0,0.281,0.0
DB02_to_DK05#alt6,6,17,1400.0,50.0,0.2972,0.0
DB02_to_DK05#alt6,6,18,1350.0,50.0,0.3077,0.0
DB02_to_DK05#alt6,6,19,1300.0,50.0,0.344,0.0
DB02_to_DK05#alt6,6,20,1250.0,50.0,0.3895,0.0
DB02_to_DK05#alt6,6,21,1200.0,50.0,0.4346,0.0
DB02_to_DK05#alt6,6,22,1150.0,50.0,0.4746,0.0
DB02_to_DK05#alt6,6,23,1100.0,50.0,0.503,0.0
DB02_to_DK05#alt6,6,24,1050.0,50.0,0.5134,0.0
DB02_to_DK05#alt6,6,25,1000.0,50.0,0.5134,0.0
DB02_to_DK05#alt6,6,26,950.0,50.0,0.5134,0.0
DB02_to_DK05#alt6,6,27,900.0,50.0,0.5134,0.0
DB02_to_DK05#alt6,6,28,850.0,50.0,0.503,0.0
DB02_to_DK05#alt6,6,29,800.0,50.0,0.4746,0.0
DB02_to_DK05#alt6,6,30,750.0,100.0,0.4931,0.0
DB02_to_DK05#alt6,6,31,700.0,150.0,0.4931,0.0
DB02_to_DK05#alt6,6,32,650.0,200.0,0.4931,0.0
DB02_to_DK05#alt6,6,33,600.0,250.0,0.4746,0.0
DB02_to_DK05#alt6,6,34,550.0,300.0,0.4346,0.0
DB02_to_DK05#alt6,6,35,500.0,350.0,0.4346,0.0
DB02_to_DK05#alt6,6,36,450.0,400.0,0.4346,0.0
DB02_to_DK05#alt6,6,37,400.0,450.0,0.4746,0.0
DB02_to_DK05#alt6,6,38,350.0,500.0,0.503,0.0
DB02_to_DK05#alt6,6,39,300.0,550.0,0.5483,0.0
DB02_to_DK05#alt6,6,40,250.0,600.0,0.5483,0.0
DB02_to_DK05#alt6,6,41,200.0,650.0,0.503,0.0
DB02_to_DK05#alt6,6,42,150.0,700.0,0.4746,0.0
DB02_to_DK05#alt6,6,43,100.0,750.0,0.4275,0.0
DB02_to_DK05#alt6,6,44,50.0,800.0,0.3679,0.0
DB02_to_DK05#alt6,6,45,50.0,850.0,0.3679,0.0
DB02_to_DK05#alt6,6,46,50.0,900.0,0.3679,0.0
DB02_to_DK05#alt6,6,47,50.0,950.0,0.3628,0.0
DB02_to_DK05#alt6,6,48,50.0,1000.0,0.3485,0.0
DB02_to_DK05#alt6,6,49,50.0,1050.0,0.3269,0.0
DB02_to_DK05#alt6,6,50,50.0,1100.0,0.3006,0.0
DB02_to_DK05#alt6,6,51,50.0,1150.0,0.2721,0.0
DB02_to_DK05#alt6,6,52,100.0,1200.0,0.2721,0.0
DB02_to_DK05#alt6,6,53,150.0,1250.0,0.2721,0.0
DB02_to_DK05#alt6,6,54,200.0,1300.0,0.2721,0.0
DB02_to_DK05#alt6,6,55,250.0,1350.0,0.2609,0.0
DB02_to_DK05#alt6,6,56,300.0,1400.0,0.2431,0.0
